Description,Proteobacteria,Actinobacteria,Bacteroidetes,Acidobacteria,Spirochaetes,Firmicutes,TM7,Chloroflexi,Cyanobacteria,Gemmatimonadetes,Verrucomicrobia,Tenericutes,WS3,Nitrospirae,Fibrobacteres,Elusimicrobia,TM6,Fusobacteria,Chlorobi,WPS-2,GN02,AD3,Planctomycetes,Unknown,MVP-21,FCPU426,[Thermi],BHI80-139,SR1,GN04,OD1,NKB19,WS2,BRC1,Armatimonadetes,Chlamydiae,[Caldithrix],WS5,ZB3,GOUTA4,LCP-89,OP3,OP11
AHT_ECN_s113,0.88155,0.08895,0.01945,0.0026,0.00125,0.00065,0.00325,0.0006,0.0008,0.00035,0.0001,0.0002,0,0,5.00E-05,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s115,0.2937,0.5241,0.0739,0.04435,0.00135,0.0048,0.01605,0.02945,0.00345,0.0042,0.0002,0.00015,0,0.0001,0.00045,0.0023,0.00055,0,0,0.00035,0.0001,0.0002,0.00015,0,5.00E-05,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s116,0.6214,0.2994,0.0134,0.0283,0,0.0146,0.0085,0.0018,0.0066,0.00045,5.00E-05,0,0.0001,0.0001,0.0002,0.0005,0.0029,0,0,0.0013,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s117,0.37215,0.53435,0.03555,0.0119,0.018,0.0033,0.01465,0.0047,0.00215,0.0007,0.00045,0.001,5.00E-05,0,0.0001,0.0004,0.00035,0,0.00015,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s118,0.6228,0.1834,0.02925,0.01615,0.1372,0.00055,0.0021,0.0046,0.00205,0.00135,0.00015,0,0.0001,0.00015,0,5.00E-05,0,0,0,5.00E-05,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s119,0.27265,0.53165,0.0929,0.0316,0.00015,0.00325,0.0413,0.0109,0.0087,0.0013,0.00015,0,0.0004,0.0001,0.0004,0.00055,0.00225,0,0.0009,0.0001,0.00025,0,5.00E-05,0,0,0.0003,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0
AHT_ECN_s120,0.4847,0.2985,0.0888,0.0368,0,0.01575,0.0102,0.0102,0.00175,0.00455,0.03735,0,0.00055,0.0007,0.0014,0.00155,0.00245,0,0.0021,0.0001,0,0,0.0016,0,0,0.0003,0,5.00E-05,0,0,0,0,5.00E-05,0.0002,0,0.0002,0,0,0,0,0,0.0001,5.00E-05
AHT_ECN_s121,0.54855,0.2304,0.11905,0.045,0.00035,0.00545,0.0118,0.0233,0.0038,0.0046,0.0014,0.00075,0.00305,0.0007,0.0004,0.0005,0.00035,0,0.0002,0.0001,0,0,0,5.00E-05,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s123,0.5797,0.24585,0.10805,0.02835,0,0.0031,0.00775,0.0131,0.00175,0.00235,0.00085,0.00555,0.00095,0.00095,0,0.0005,0.0007,0,0.00025,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT_ECN_s124,0.21335,0.32845,0.03805,0.0258,0.34595,0.02985,0.00525,0.00465,0.0014,0.00115,0.00145,0.00115,0,0.00015,0.0001,0.0015,0.00065,0,5.00E-05,0.0007,5.00E-05,0.0001,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s159,0.8285,0.1333,0.00465,0.0039,0.0008,0.0085,0.0133,0.0057,0.0002,5.00E-05,0.0001,0.00025,5.00E-05,5.00E-05,5.00E-05,0.0002,0,0.0001,5.00E-05,5.00E-05,0,0,5.00E-05,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s160,0.39935,0.32085,0.14525,0.00755,0.01035,0.0346,0.06005,0.00885,0.0025,0.00055,0.0014,0.0072,0,5.00E-05,0.00105,0.0001,0,0,0,0,0.0002,0,0,5.00E-05,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s161,0.24425,0.1994,0.41615,0.0113,0.0219,0.01455,0.06365,0.01,0.00225,0.00095,0.0017,0.01065,5.00E-05,0.0001,0.0017,0.0004,0.00025,0,0.0001,0,0.0004,0,5.00E-05,0,0,0,0,0,5.00E-05,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s162,0.98215,0.00525,0.01075,0.00025,0,0.00025,0.00075,0.00035,0.00015,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s163,0.9608,0.03475,0.003,0.0002,5.00E-05,0.0005,5.00E-05,0.0004,0,0.0001,5.00E-05,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s165,0.9475,0.02635,0.00745,0.0046,0.0001,0.0046,0.00415,0.0028,0.0004,0.00035,0.0001,0.00135,0.0001,0.0001,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s167,0.9204,0.04845,0.01775,0.001,0,0.00335,0.0019,0.0016,5.00E-05,0.0001,0,0.00515,0,0,0.0001,0.0001,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s168,0.90185,0.0569,0.0164,0.00605,0.0011,0.0017,0.00485,0.0082,0.0003,0.0004,0.00175,0.00015,5.00E-05,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_control_s170,0.33415,0.4829,0.06415,0.0069,0.00185,0.0259,0.0654,0.0109,0.00405,0.00065,0.0012,0.00035,0.00025,0.00015,0.00035,0.0003,0.00015,0,0.0001,5.00E-05,0,0,0,5.00E-05,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_polluted_s185,0.3934,0.3073,0.08435,0.00735,0.0003,0.0759,0.11425,0.00515,0.00605,0.00135,0.00115,0.0021,5.00E-05,5.00E-05,0.00035,5.00E-05,0.0004,0,0,0,0.00025,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_polluted_s186,0.53205,0.2484,0.0479,0.00265,0.0006,0.07885,0.0628,0.0098,0.00355,5.00E-05,0.0114,0.0009,0.00045,0,0.0005,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT_polluted_s187,0.64445,0.0991,0.1673,0.02835,0.00015,0.02905,0.0187,0.0051,0.0031,0.0019,0.0004,0,0.0009,0.00015,0.0004,5.00E-05,0.00035,0,0.00025,0,0,0,5.00E-05,0,0,0,0.00015,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0
AMT_polluted_s189,0.41575,0.0295,0.0813,0.00255,0.4594,0.00265,0.005,0.001,0.0012,0.0002,0.0003,0.00035,0.00015,0,0.0004,0,5.00E-05,5.00E-05,5.00E-05,0,5.00E-05,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
