SampleID,Status,Site,Metadata_Status,Soil_temperature,Air_temperature,Weight,LineA,Lineage,Plate,position,Description,PD_whole_tree_alpha,PD_whole_tree_normalized_alpha,chao1_alpha,chao1_normalized_alpha,observed_species_alpha,observed_species_normalized_alpha,shannon_alpha,shannon_normalized_alpha,Al_soil,P_soil,S_soil,Ca_soil,Ti_soil,V_soil,Cr_soil,Mn_soil,Fe_soil,Co_soil,Ni_soil,Cu_soil,Zn_soil,As_soil,Se_soil,Mo_soil,Cd_soil,Sb_soil,Ba_soil,Hg_soil,Pb_soil,pH_soil,moi_soil,OC_soil,SampNo_metal,Al_tissue,Mn_tissue,Fe_tissue,Co_tissue,Ni_tissue,Cu_tissue,Zn_tissue,Se_tissue,Sr_tissue,Mo_tissue,Cd_tissue,Sb_tissue,Pb_tissue,Hg_tissue,Cr_tissue,As_tissue
s001,Polluted,DGC,OK,12.5,13.5,0.6,A,A3,P1,C1,DGC_polluted_s001,3.01788,0,111,0.002066286,34,0,0.084504533,0,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31606,374,34.7,2330,1.36,0.627,31,59.1,0.715,2.37,0.114,0.594,0.95,9.11,0.216,0.762,300
s002,Polluted,DGC,OK,12.5,13.5,0.8,A,A3,P1,D1,DGC_polluted_s002,34.63517,0.440863274,1209.222222,0.331472346,868,0.34448575,3.213582089,0.338030128,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31607,241,39.9,999,1.05,0.613,42.6,51,0.456,2.23,0.083,0.234,0.414,5.2,0.248,0.444,223
s003,Polluted,DGC,wrong sp.,12.5,13.5,0.93,NA,NA,P1,G1,DGC_polluted_s003,41.48704,0.536403968,1548.235294,0.433157558,1130,0.452705494,7.45165147,0.795863183,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31610,406,30.1,2660,1.41,0.996,53.5,77.7,0.652,3.29,0.164,0.617,0.802,14,0.197,0.784,213
s004,Polluted,DGC,OK,12.5,13.5,0.82,A,A3,P1,B2,DGC_polluted_s004,11.35531,0.116254957,330,0.067754201,156,0.0503924,2.267960485,0.235875871,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31613,20.8,50.2,156,0.16,0.025,2.55,63.6,0.109,2.49,0.074,0.172,0.322,1.14,0.248,0.18,41.8
s006,Polluted,DGC,OK,12.5,13.5,0.76,A,A3,P1,F2,DGC_polluted_s006,23.242,0.281999873,831.6395349,0.218218377,536,0.207352334,3.964977374,0.419202371,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31617,26.7,45.5,198,0.147,0.022,3.46,61,0.097,2.01,0.066,0.2,0.288,1.03,0.221,0.146,88.8
s007,Polluted,DGC,OK,12.5,13.5,0.63,A,NA,P1,G2,DGC_polluted_s007,24.20985,0.295495321,884.5697674,0.234094526,607,0.236679058,4.096670543,0.433429011,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31618,37.8,64.5,329,0.187,0.022,4.35,68.5,0.207,2.87,0.065,0.244,0.283,4.26,0.217,0.133,52.3
s008,Polluted,DGC,OK,12.5,13.5,1.26,B,NA,P1,A3,DGC_polluted_s008,24.40949,0.29827905,969.5833333,0.259593904,635,0.248244527,4.676952236,0.496116078,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31620,28,61.2,235,0.169,0.061,5.77,68.9,0.112,2.24,0.06,0.246,0.211,4.89,0.162,0.269,58.9
s009,Polluted,DGC,OK,12.5,13.5,0.54,A,A3,P1,B3,DGC_polluted_s009,3.70939,0.009642236,104.1111111,0,68,0.014043784,1.602665897,0.164004973,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31704,36.9,38.6,230,0.196,0.178,5.13,88.9,0.599,2.37,0.088,0.445,0.361,2.14,0.278,0.214,73.4
s010,Polluted,DGC,OK,12.5,13.5,0.62,B,NA,P1,C3,DGC_polluted_s010,22.75209,0.275168695,708.3970588,0.181252436,507,0.195373812,4.450981273,0.471704733,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31705,55.5,14.3,128,0.222,0.14,5.2,111,0.658,1.84,0.067,0.447,0.29,26.4,0.223,0.3,118
s011,Polluted,DGC,OK,12.5,13.5,0.53,A,NA,P1,D3,DGC_polluted_s011,37.49438,0.480731355,1288,0.355101332,961,0.382899628,6.237474464,0.66469724,4.181843588,2.456366033,3.204119983,3.530199698,1.612783857,1.58546073,1.250420002,2.784617293,4.900913068,1.369215857,1.372912003,3.416640507,2.421603927,3.795880017,0.408239965,0.079181246,-0.66756154,1.117271296,1.648360011,-0.127261173,2.305351369,5.3,45.41,29.69,EK31706,82.1,59.9,590,0.137,0.14,9.02,37.4,0.308,1.98,0.089,0.221,0.387,2.46,0.298,0.209,103
