,invert_abun,soil_organic_content,shade,researcher,day,field_collected,lumbricids
56,57.015,3,No,Ben,Sat,Control,4
58,16.86,1.76,No,Ben,Sat,Control,2
60,30.435,3.21,No,Ben,Sat,Control,2
61,20.715,2,No,Ben,Sat,Control,2
62,16.53,1.98,No,Ben,Sat,Control,2
63,27.435,3.76,No,Ben,Sat,Control,4
67,4.605,1,Yes,Ben,Sat,Control,1
69,22.515,2.09,No,Ben,Sat,Control,2
72,40.29,3.14,Yes,Ben,Sat,Control,2
73,37.92,5,Yes,Ben,Sat,Control,2
76,26.88,3.08,No,Ben,Sat,Control,2
80,29.16,3,No,Ben,Thur,Exposed,2
83,49.02,5,No,Ben,Thur,Exposed,2
90,43.455,3,No,Ben,Fri,Control,2
92,8.625,1,Yes,Ben,Fri,Control,2
93,24.48,4.3,Yes,Ben,Fri,Control,2
95,60.255,4.73,No,Ben,Fri,Control,4
96,40.92,4,No,Ben,Fri,Control,2
97,18.045,1.5,No,Ben,Fri,Control,2
98,31.515,3,No,Ben,Fri,Control,2
100,17.025,2.5,Yes,Ben,Fri,Control,2
101,23.07,3,Yes,Ben,Fri,Control,2
102,66.45,2.5,Yes,Ben,Sat,Control,3
103,33.63,3.48,Yes,Ben,Sat,Control,2
105,23.04,1.64,No,Ben,Sat,Control,2
106,30.735,4.06,No,Ben,Sat,Control,2
107,37.815,4.29,No,Ben,Sat,Control,2
109,21.465,4,Yes,Ben,Sat,Control,2
138,24,2,No,Ben,Thur,Exposed,2
164,26.265,3,Yes,Ben,Sun,Control,2
168,15.885,1.61,Yes,Ben,Sat,Control,2
169,15.945,2,Yes,Ben,Sat,Control,2
170,76.215,10,No,Ben,Sat,Control,3
171,23.715,3.16,No,Ben,Sat,Control,2
172,10.875,5.15,No,Ben,Sun,Control,2
173,47.775,3.18,No,Ben,Sun,Control,2
174,25.23,4,No,Ben,Sun,Control,2
175,49.35,3.11,No,Ben,Sun,Control,2
176,26.835,2,No,Ben,Sun,Control,2
177,21.72,2,No,Ben,Sun,Control,2
178,14.4,4,Yes,Ben,Sun,Control,2
179,51.945,3.55,No,Ben,Sun,Control,2
180,51.975,3.68,No,Ben,Sun,Control,4
181,34.995,5.65,No,Ben,Sun,Control,2
182,68.025,3.5,No,Ben,Sun,Control,3
183,34.755,6.5,No,Ben,Sun,Control,4
184,60.825,3,No,Ben,Sun,Control,2
186,31.35,3.5,Yes,Ben,Sun,Control,3
187,45.69,2,No,Ben,Sun,Control,5
188,27.225,3.5,Yes,Ben,Sun,Control,3
189,34.65,4,No,Ben,Sun,Control,3
190,23.535,1.5,No,Ben,Sun,Control,2
191,29.715,4.19,Yes,Ben,Thur,Exposed,2
192,42.66,2.56,No,Ben,Thur,Exposed,2
193,23.22,2.02,No,Ben,Thur,Exposed,2
194,24.87,4,No,Ben,Thur,Exposed,2
196,15.51,2,No,Ben,Thur,Exposed,2
197,64.665,5,Yes,Ben,Thur,Exposed,4
198,19.5,2,Yes,Ben,Thur,Exposed,2
199,20.265,2,No,Ben,Thur,Exposed,2
200,28.065,4,No,Ben,Thur,Exposed,3
201,19.11,2.01,Yes,Ben,Thur,Exposed,2
202,19.5,2,Yes,Ben,Thur,Exposed,2
203,24.6,2.5,Yes,Ben,Thur,Exposed,2
204,30.795,4,No,Ben,Thur,Exposed,4
205,24.705,3.23,Yes,Ben,Thur,Exposed,3
206,39.885,3.41,No,Ben,Sat,Control,3
207,58.095,3,No,Ben,Sat,Control,4
208,36.405,2.03,No,Ben,Sat,Control,2
209,19.14,2.23,Yes,Ben,Sat,Control,2
210,45.09,2,No,Ben,Sat,Control,3
211,38.835,5.16,No,Ben,Sat,Control,4
213,19.905,2.5,Yes,Ben,Sat,Control,2
214,42.255,6.5,Yes,Ben,Sat,Control,3
215,19.35,1.1,Yes,Ben,Sat,Control,2
216,42.225,3,No,Ben,Sat,Control,5
217,17.385,1.5,No,Ben,Sat,Control,2
218,11.61,1.44,No,Ben,Sat,Control,2
219,45.21,3.09,Yes,Ben,Sat,Control,4
220,18.24,2.2,No,Ben,Fri,Exposed,2
221,20.13,3.48,Yes,Ben,Fri,Exposed,2
222,12.87,1.92,No,Ben,Fri,Exposed,1
224,20.13,1.58,No,Ben,Fri,Exposed,2
225,24.405,2.5,Yes,Ben,Fri,Exposed,2
226,15.135,2,Yes,Ben,Fri,Exposed,2
